Hyperparameter search over trackpy + hole-filling

{'TRACKPY_SEARCH_RANGE': [20, 30, 40], 'TRACKPY_MEMORY': [10, 20], 'MAX_HOLE_LEN': [5, 10, 20], 'HOLE_MIN_EDGE_CONF': [0.5, 0.6, 0.7]}

exp_000: IDF1=0.8048, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=10, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.5
exp_001: IDF1=0.8055, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=10, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.6
exp_002: IDF1=0.8055, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=10, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.7
exp_003: IDF1=0.8037, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=10, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.5
exp_004: IDF1=0.8049, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=10, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.6
exp_005: IDF1=0.8052, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=10, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.7
exp_006: IDF1=0.8037, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=10, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.5
exp_007: IDF1=0.8049, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=10, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.6
exp_008: IDF1=0.8052, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=10, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.7
exp_009: IDF1=0.7965, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=20, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.5
exp_010: IDF1=0.7971, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=20, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.6
exp_011: IDF1=0.7973, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=20, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.7
exp_012: IDF1=0.7953, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=20, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.5
exp_013: IDF1=0.7965, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=20, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.6
exp_014: IDF1=0.7970, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=20, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.7
exp_015: IDF1=0.7935, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=20, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.5
exp_016: IDF1=0.7958, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=20, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.6
exp_017: IDF1=0.7964, TRACKPY_SEARCH_RANGE=20, TRACKPY_MEMORY=20, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.7
exp_018: IDF1=0.8149, TRACKPY_SEARCH_RANGE=30, TRACKPY_MEMORY=10, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.5
exp_019: IDF1=0.8158, TRACKPY_SEARCH_RANGE=30, TRACKPY_MEMORY=10, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.6
exp_020: IDF1=0.8157, TRACKPY_SEARCH_RANGE=30, TRACKPY_MEMORY=10, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.7
exp_021: IDF1=0.8145, TRACKPY_SEARCH_RANGE=30, TRACKPY_MEMORY=10, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.5
exp_022: IDF1=0.8155, TRACKPY_SEARCH_RANGE=30, TRACKPY_MEMORY=10, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.6
exp_023: IDF1=0.8157, TRACKPY_SEARCH_RANGE=30, TRACKPY_MEMORY=10, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.7
exp_024: IDF1=0.8145, TRACKPY_SEARCH_RANGE=30, TRACKPY_MEMORY=10, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.5
exp_025: IDF1=0.8155, TRACKPY_SEARCH_RANGE=30, TRACKPY_MEMORY=10, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.6
